Symbol,Company Name,Market Cap,% Change,Volume,Revenue
MUX,McEwen Mining Inc.,458.34M,2.85%,450847,199.63M
KBSX,FST Corp.,447.55M,4.65%,7597,33.94M
MERC,Mercer International Inc.,445.22M,1.68%,105066,2.03B
GEVO,"Gevo, Inc.",430.01M,6.29%,6696062,15.59M
BIOX,Bioceres Crop Solutions Corp.,429.91M,4.43%,115578,441.27M
CNL,Collective Mining Ltd.,420.62M,4.56%,7811,-
ASPI,ASP Isotopes Inc.,420.13M,2.35%,1899063,3.38M
LAR,Lithium Argentina AG,416.23M,4.45%,672895,-
ZEUS,"Olympic Steel, Inc.",388.30M,2.86%,46793,2.01B
NAK,Northern Dynasty Minerals Ltd.,379.37M,6.09%,4389966,-
NFGC,New Found Gold Corp.,341.78M,5.42%,279211,-
RDUS,"Radius Recycling, Inc.",340.96M,1.85%,206001,2.72B
IPI,"Intrepid Potash, Inc.",329.55M,0.90%,122934,206.36M
MSB,Mesabi Trust,324.59M,2.44%,58817,26.79M
NMG,Nouveau Monde Graphite Inc.,321.18M,9.84%,54655,-
USAS,Americas Gold and Silver Corporation,306.73M,0.58%,1110942,97.12M
GAU,Galiano Gold Inc.,301.67M,1.75%,449684,166.79M
SLI,Standard Lithium Ltd.,295.83M,4.03%,1083601,-
MTA,Metalla Royalty & Streaming Ltd.,280.38M,5.19%,468848,5.05M
NEWP,New Pacific Metals Corp.,275.05M,7.63%,184639,-
IONR,ioneer Ltd,265.30M,2.78%,10689,-
HDSN,"Hudson Technologies, Inc.",256.28M,-1.05%,240767,247.33M
IAUX,i-80 Gold Corp.,248.22M,2.31%,2491973,52.94M
DC,Dakota Gold Corp.,229.47M,5.65%,293877,-
GROY,Gold Royalty Corp.,228.57M,1.50%,848080,7.76M
FF,FutureFuel Corp.,222.75M,3.46%,268369,273.84M
TMQ,Trilogy Metals Inc.,213.59M,2.27%,314713,-
LWLG,"Lightwave Logic, Inc.",212.93M,1.16%,602466,113.19K
WRN,Western Copper and Gold Corporation,209.08M,4.95%,208241,-
ODV,Osisko Development Corp.,206.06M,-,234432,8.49M
EMX,EMX Royalty Corporation,202.96M,2.25%,224607,26.82M
SMID,Smith-Midland Corporation,200.69M,1.47%,8142,76.37M
UAMY,United States Antimony Corporation,200.61M,10.12%,2413120,10.22M
CMCL,Caledonia Mining Corporation Plc,189.84M,3.89%,56566,165.35M
ASM,Avino Silver & Gold Mines Ltd.,188.87M,5.47%,1781709,54.33M
ITRG,Integra Resources Corp.,186.04M,5.66%,449437,-
IDR,"Idaho Strategic Resources, Inc.",185.79M,6.58%,313638,21.96M
AVD,American Vanguard Corporation,180.50M,3.13%,179050,553.84M
PLL,Piedmont Lithium Inc.,178.44M,5.56%,222840,46.98M
GRO,Brazil Potash Corp.,174.44M,-2.99%,208682,-
IZTC,"Invizyne Technologies, Inc.",166.75M,-7.06%,38017,-700.00
GLDG,GoldMining Inc.,159.21M,3.29%,439149,-
TSE,Trinseo PLC,155.06M,10.89%,270629,3.53B
ORGN,"Origin Materials, Inc.",137.33M,0.65%,1360001,35.12M
LGO,Largo Inc.,137.03M,13.83%,1347806,144.82M
PLG,Platinum Group Metals Ltd.,133.47M,3.97%,414836,-
USGO,U.S. GoldMining Inc.,132.78M,-2.29%,174643,-
CTGO,"Contango Ore, Inc.",132.19M,1.22%,118962,-
ABAT,American Battery Technology Company,127.13M,2.63%,1757947,545.46K
CMT,"Core Molding Technologies, Inc.",123.96M,1.13%,20129,313.66M
VOXR,Vox Royalty Corp.,121.21M,3.48%,63811,11.15M
ALTO,"Alto Ingredients, Inc.",120.72M,0.32%,276640,1.00B
ACNT,Ascent Industries Co.,113.24M,-2.00%,53983,178.42M
FRD,"Friedman Industries, Incorporated",111.88M,4.97%,17719,469.52M
NTIC,Northern Technologies International Corporation,109.95M,-1.11%,12832,86.22M
NB,NioCorp Developments Ltd.,108.83M,9.40%,1452503,-
USAU,U.S. Gold Corp.,107.46M,10.94%,361164,-
THM,International Tower Hill Mines Ltd.,97.64M,12.77%,248241,-
HLP,Hongli Group Inc.,95.10M,-1.15%,172,14.05M
TRX,TRX Gold Corporation,94.11M,4.97%,609820,44.28M
ATLX,Atlas Lithium Corporation,90.49M,-0.84%,88117,543.66K
LODE,Comstock Inc.,82.10M,2.90%,7509189,1.86M
VGZ,Vista Gold Corp.,78.83M,1.15%,199737,-
FSI,"Flexible Solutions International, Inc.",78.10M,4.33%,75772,38.49M
FURY,Fury Gold Mines Limited,62.44M,5.98%,165620,-
HYMC,Hycroft Mining Holding Corporation,60.15M,1.25%,172483,-
NVA,Nova Minerals Limited,58.42M,-5.75%,51157,-
WWR,"Westwater Resources, Inc.",56.26M,-2.50%,1440005,-
LOOP,"Loop Industries, Inc.",54.76M,-7.26%,51105,126.00K
XPL,Solitario Resources Corp.,54.56M,2.17%,17106,-
AREC,American Resources Corporation,51.46M,-2.25%,427227,399.96K
GTI,Graphjet Technology,47.89M,4.77%,3014524,-
LITM,Snow Lake Resources Ltd.,45.81M,16.63%,45016883,-
GORO,Gold Resource Corporation,32.30M,-4.79%,1817984,73.90M
CAPT,Captivision Inc.,32.10M,139.18%,243600601,17.39M
PZG,Paramount Gold Nevada Corp.,25.65M,-,76356,-
FEAM,"5E Advanced Materials, Inc.",25.17M,0.63%,95037,-
ELBM,Electra Battery Materials Corporation,23.37M,7.53%,37683,-
HUDI,"Huadi International Group Co., Ltd.",22.13M,1.31%,7978,74.27M
NWGL,Nature Wood Group Limited,21.68M,-,111,21.71M
AUST,Austin Gold Corp.,19.11M,-3.85%,200778,-
ENFY,Enlightify Inc.,18.86M,-7.61%,15320,90.81M
RETO,"ReTo Eco-Solutions, Inc.",16.66M,-0.34%,25569,3.84M
JCTC,Jewett-Cameron Trading Company Ltd.,16.32M,-2.32%,202,46.61M
INHD,Inno Holdings Inc.,16.21M,-1.07%,4748,885.50K
SEED,Origin Agritech Limited,15.23M,-0.41%,17323,16.52M
OMEX,"Odyssey Marine Exploration, Inc.",15.08M,1.31%,263840,799.14K
ZKIN,"ZK International Group Co., Ltd.",13.79M,-9.80%,44900,108.20M
BHIL,"Benson Hill, Inc.",13.33M,-,249735,466.73M
NITO,"N2OFF, Inc.",12.78M,-10.40%,1221383,175.31K
FMST,Foremost Clean Energy Ltd.,9.69M,-11.61%,130830,-
GURE,"Gulf Resources, Inc.",7.29M,7.99%,37428,12.80M
BGLC,BioNexus Gene Lab Corp.,7.24M,0.25%,68446,9.26M
GRFX,Graphex Group Limited,6.63M,-0.87%,84774,30.02M
BON,Bon Natural Life Limited,5.38M,8.40%,13401,23.84M
ITP,"IT Tech Packaging, Inc.",3.22M,-3.03%,39945,79.16M
SNES,"SenesTech, Inc.",3.13M,8.60%,726635,1.65M
CRKN,Crown Electrokinetics Corp.,2.78M,-,442640,13.46M
CNEY,CN Energy Group. Inc.,1.99M,3.55%,1559449,66.51M
