Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SHAK,Shake Shack Inc.,5.07B,3.54%,1365337,1.21B
LEA,Lear Corporation,5.05B,2.07%,495658,23.43B
SEE,Sealed Air Corporation,5.01B,0.56%,1479291,5.40B
COLM,Columbia Sportswear Company,4.91B,0.79%,816378,3.37B
KTB,"Kontoor Brands, Inc.",4.88B,2.36%,400685,2.58B
KBH,KB Home,4.80B,1.65%,973279,6.93B
RUSHA,"Rush Enterprises, Inc.",4.75B,1.23%,151653,7.82B
VVV,Valvoline Inc.,4.70B,-0.05%,2131489,1.62B
SON,Sonoco Products Company,4.69B,0.27%,518882,6.57B
RUSHB,"Rush Enterprises, Inc.",4.69B,0.42%,16545,7.82B
PVH,PVH Corp.,4.59B,-0.97%,1873360,8.77B
FTDR,"Frontdoor, Inc.",4.53B,2.65%,702541,1.83B
BC,Brunswick Corporation,4.43B,1.51%,556482,5.24B
FUN,Six Flags Entertainment Corporation,4.42B,-0.63%,2095448,2.39B
BOOT,"Boot Barn Holdings, Inc.",4.41B,-0.89%,993126,1.85B
M,"Macy's, Inc.",4.19B,-0.98%,3997011,23.37B
SGHC,Super Group (SGHC) Limited,4.16B,-0.60%,667444,1.74B
CVCO,"Cavco Industries, Inc.",4.13B,-0.66%,89738,1.93B
CARG,"CarGurus, Inc.",4.05B,1.69%,607797,888.97M
DORM,"Dorman Products, Inc.",4.03B,0.63%,112321,1.97B
HGV,Hilton Grand Vacations Inc.,4.02B,0.27%,503033,4.24B
JWN,"Nordstrom, Inc.",4.00B,0.41%,1175801,15.11B
WRD,WeRide Inc.,4.00B,1.82%,25438,52.05M
GOLF,Acushnet Holdings Corp.,3.95B,1.01%,244704,2.42B
SG,"Sweetgreen, Inc.",3.81B,0.73%,1091721,668.95M
ATAT,Atour Lifestyle Holdings Limited,3.80B,1.81%,702482,950.76M
TNL,Travel + Leisure Co.,3.76B,0.69%,333338,3.83B
UAA,"Under Armour, Inc.",3.57B,-,8989646,5.40B
ASO,"Academy Sports and Outdoors, Inc.",3.55B,0.55%,1031550,6.05B
ACVA,ACV Auctions Inc.,3.50B,1.96%,1290608,596.02M
HOG,"Harley-Davidson, Inc.",3.41B,1.32%,3447520,5.55B
IGT,International Game Technology PLC,3.41B,1.20%,1290420,4.32B
TPH,"Tri Pointe Homes, Inc.",3.41B,1.51%,668801,4.50B
UA,"Under Armour, Inc.",3.39B,0.41%,3659940,5.40B
RSI,"Rush Street Interactive, Inc.",3.37B,3.25%,5647429,863.77M
MHO,"M/I Homes, Inc.",3.32B,0.98%,506042,4.50B
PATK,"Patrick Industries, Inc.",3.25B,0.90%,435961,3.65B
DOOO,BRP Inc.,3.23B,0.64%,309868,6.28B
PTVE,Pactiv Evergreen Inc.,3.18B,0.40%,537399,5.20B
YETI,"YETI Holdings, Inc.",3.14B,2.80%,1329373,1.80B
PENN,"PENN Entertainment, Inc.",3.13B,3.57%,4829507,6.30B
WEN,The Wendy's Company,3.07B,0.33%,2519515,2.21B
AEO,"American Eagle Outfitters, Inc.",3.03B,1.81%,2185547,5.40B
GEF.B,"Greif, Inc.",2.95B,1.02%,3061,5.45B
VAC,Marriott Vacations Worldwide Corporation,2.95B,-0.61%,183179,3.19B
AAP,"Advance Auto Parts, Inc.",2.94B,2.84%,1390214,11.19B
GEF,"Greif, Inc.",2.91B,1.83%,147241,5.45B
PRKS,United Parks & Resorts Inc.,2.90B,-0.40%,568052,1.73B
CAKE,The Cheesecake Factory Incorporated,2.87B,-0.72%,1233589,3.54B
CPRI,Capri Holdings Limited,2.83B,0.33%,3488232,4.63B
HBI,Hanesbrands Inc.,2.82B,1.39%,4120873,5.47B
PTON,"Peloton Interactive, Inc.",2.79B,-0.14%,8141047,2.69B
SHOO,"Steven Madden, Ltd.",2.69B,-2.69%,1386991,2.22B
VSCO,Victoria's Secret & Co.,2.68B,-2.23%,1616941,6.21B
DRVN,Driven Brands Holdings Inc.,2.67B,-0.37%,278252,2.33B
GRBK,"Green Brick Partners, Inc.",2.63B,1.34%,260766,1.98B
LCII,LCI Industries,2.63B,1.63%,250009,3.78B
QS,QuantumScape Corporation,2.60B,2.01%,8076541,-
MCW,"Mister Car Wash, Inc.",2.56B,-0.50%,724385,973.70M
AIN,Albany International Corp.,2.55B,2.23%,87586,1.27B
PII,Polaris Inc.,2.55B,4.62%,2151782,7.27B
SAH,"Sonic Automotive, Inc.",2.54B,2.55%,96762,13.91B
SIG,Signet Jewelers Limited,2.48B,-1.73%,866724,6.85B
GT,The Goodyear Tire & Rubber Company,2.47B,-0.46%,4225502,19.05B
TRIP,"Tripadvisor, Inc.",2.43B,0.93%,2187473,1.81B
ZGN,Ermenegildo Zegna N.V.,2.31B,3.73%,724052,2.10B
CWH,"Camping World Holdings, Inc.",2.31B,3.40%,813741,6.00B
DAN,Dana Incorporated,2.30B,0.83%,1709453,10.44B
BKE,"The Buckle, Inc.",2.29B,-1.63%,338041,1.22B
VC,Visteon Corporation,2.28B,1.75%,273011,3.92B
PSNY,Polestar Automotive Holding UK PLC,2.28B,3.85%,5053401,2.05B
MLCO,Melco Resorts & Entertainment Limited,2.25B,-4.63%,6684540,4.54B
RVLV,"Revolve Group, Inc.",2.25B,2.22%,732438,1.09B
OSW,OneSpaWorld Holdings Limited,2.22B,0.71%,473041,872.62M
KAR,"OPENLANE, Inc.",2.18B,2.00%,436927,1.69B
MBC,"MasterBrand, Inc.",2.17B,-0.23%,715328,2.71B
PHIN,PHINIA Inc.,2.11B,2.33%,241932,3.45B
DFH,"Dream Finders Homes, Inc.",2.09B,2.01%,378818,4.03B
GTX,Garrett Motion Inc.,2.05B,2.02%,795871,3.58B
LGIH,"LGI Homes, Inc.",2.03B,1.26%,186548,2.25B
HSAI,Hesai Group,2.00B,1.88%,1998754,273.52M
LZB,La-Z-Boy Incorporated,1.93B,2.96%,451660,2.07B
LOT,Lotus Technology Inc.,1.89B,4.89%,81412,1.01B
CRI,"Carter's, Inc.",1.85B,-1.90%,662346,2.84B
FL,"Foot Locker, Inc.",1.82B,1.59%,1972510,8.12B
OI,"O-I Glass, Inc.",1.81B,1.03%,1883224,6.53B
SVV,"Savers Value Village, Inc.",1.76B,0.09%,362930,1.52B
ARHS,"Arhaus, Inc.",1.74B,7.35%,1769391,1.27B
WWW,"Wolverine World Wide, Inc.",1.74B,-0.55%,674626,1.79B
MSGE,Madison Square Garden Entertainment Corp.,1.73B,-0.91%,258371,955.77M
AMBP,Ardagh Metal Packaging S.A.,1.64B,0.37%,1057615,4.85B
ARCO,Arcos Dorados Holdings Inc.,1.63B,1.97%,1037225,4.50B
DESP,"Despegar.com, Corp.",1.60B,0.10%,921213,756.30M
HDL,Super Hi International Holding Ltd.,1.58B,5.93%,9962,759.89M
MCRI,"Monarch Casino & Resort, Inc.",1.58B,1.26%,52023,515.86M
PLYA,Playa Hotels & Resorts N.V.,1.57B,1.90%,1701628,949.67M
SHCO,Soho House & Co Inc.,1.48B,-1.16%,462100,1.20B
MODG,Topgolf Callaway Brands Corp.,1.48B,3.21%,2401653,4.21B
KSS,Kohl's Corporation,1.47B,1.85%,6878853,16.78B
MLKN,"MillerKnoll, Inc.",1.47B,2.57%,396412,3.59B
ADNT,Adient plc,1.42B,3.11%,777828,14.52B
CBRL,"Cracker Barrel Old Country Store, Inc.",1.40B,-0.85%,540780,3.49B
LEG,"Leggett & Platt, Incorporated",1.39B,1.87%,1554400,4.44B
WINA,Winmark Corporation,1.34B,0.69%,14527,81.78M
GIII,"G-III Apparel Group, Ltd.",1.33B,2.51%,358922,3.11B
WGO,"Winnebago Industries, Inc.",1.32B,-0.32%,381046,2.84B
FWRG,"First Watch Restaurant Group, Inc.",1.29B,1.72%,316898,997.25M
PZZA,"Papa John's International, Inc.",1.29B,-0.70%,627093,2.10B
SCS,Steelcase Inc.,1.29B,2.17%,381881,3.15B
CNNE,"Cannae Holdings, Inc.",1.23B,0.77%,84890,461.90M
OXM,"Oxford Industries, Inc.",1.19B,0.54%,297822,1.53B
EVRI,Everi Holdings Inc.,1.17B,-,221956,760.42M
CARS,Cars.com Inc.,1.15B,1.77%,304029,718.33M
THRM,Gentherm Incorporated,1.15B,2.62%,198921,1.47B
XPEL,"XPEL, Inc.",1.14B,2.29%,92108,418.41M
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,1.13B,2.97%,401095,1.17B
AMWD,American Woodmark Corporation,1.13B,-0.89%,156567,1.79B
FOXF,Fox Factory Holding Corp.,1.12B,3.63%,483064,1.37B
SBH,"Sally Beauty Holdings, Inc.",1.09B,1.52%,1984799,3.72B
PTLO,Portillo's Inc.,1.08B,5.75%,1082830,713.80M
BLMN,"Bloomin' Brands, Inc.",1.07B,0.48%,898008,4.55B
EVGO,"EVgo, Inc.",1.05B,0.29%,2355401,239.31M
GOOS,Canada Goose Holdings Inc.,1.02B,1.05%,1315924,981.03M
SDA,SunCar Technology Group Inc.,1.01B,1.48%,842873,425.99M
REAL,"The RealReal, Inc.",1.01B,1.88%,1551656,579.86M
OLPX,"Olaplex Holdings, Inc.",1.01B,0.66%,1029755,433.65M
TRS,TriMas Corporation,981.83M,1.09%,156699,906.52M
LQDT,"Liquidity Services, Inc.",980.24M,-4.91%,279786,363.32M
ACEL,"Accel Entertainment, Inc.",951.89M,3.49%,194490,1.21B
FIGS,"FIGS, Inc.",937.35M,1.47%,1376477,548.64M
KRUS,"Kura Sushi USA, Inc.",932.35M,-0.96%,118538,250.84M
WOOF,"Petco Health and Wellness Company, Inc.",931.72M,2.74%,2018857,6.24B
EYE,"National Vision Holdings, Inc.",898.53M,3.16%,1092643,2.18B
GDEN,"Golden Entertainment, Inc.",886.50M,0.56%,105110,733.31M
XPOF,"Xponential Fitness, Inc.",841.92M,2.41%,306323,326.72M
BJRI,"BJ's Restaurants, Inc.",840.79M,-0.38%,167315,1.34B
MSC,Studio City International Holdings Limited,816.57M,-5.51%,2185,627.53M
ARKO,Arko Corp.,811.56M,0.29%,328872,8.97B
MYTE,MYT Netherlands Parent B.V.,795.53M,3.09%,127124,953.70M
HOV,"Hovnanian Enterprises, Inc.",793.93M,2.44%,44994,3.00B
UXIN,Uxin Limited,785.61M,0.48%,93910,232.10M
ETD,Ethan Allen Interiors Inc.,778.67M,1.46%,233169,626.65M
JACK,Jack in the Box Inc.,773.45M,2.58%,428409,1.57B
FNKO,"Funko, Inc.",755.48M,2.42%,661602,1.05B
MLR,"Miller Industries, Inc.",749.16M,2.06%,59042,1.33B
MBUU,"Malibu Boats, Inc.",744.39M,3.93%,220197,733.99M
BALY,Bally's Corporation,740.54M,-0.05%,88415,2.48B
SCVL,"Shoe Carnival, Inc.",718.77M,3.89%,425395,1.22B
BH,Biglari Holdings Inc.,706.01M,2.61%,2716,361.66M
CURV,Torrid Holdings Inc.,699.77M,1.21%,205518,1.12B
HZO,"MarineMax, Inc.",681.90M,1.69%,147770,2.37B
BZH,"Beazer Homes USA, Inc.",673.58M,3.47%,525822,2.41B
SMP,"Standard Motor Products, Inc.",672.29M,1.54%,52029,1.41B
LIND,"Lindblad Expeditions Holdings, Inc.",671.39M,1.40%,200925,621.48M
RERE,ATRenew Inc.,651.87M,3.85%,810022,2.19B
ODP,The ODP Corporation,651.76M,1.98%,327953,7.18B
GES,"Guess?, Inc.",647.84M,2.44%,700672,2.95B
PACK,Ranpak Holdings Corp.,626.17M,3.72%,231787,354.30M
LVWR,"LiveWire Group, Inc.",623.98M,0.99%,29413,30.96M
CSV,"Carriage Services, Inc.",622.17M,1.04%,83546,405.33M
LEGH,Legacy Housing Corporation,618.69M,0.87%,66236,163.72M
KRT,Karat Packaging Inc.,609.73M,0.13%,10479,416.57M
AXL,"American Axle & Manufacturing Holdings, Inc.",598.49M,2.83%,3389031,6.21B
SFIX,"Stitch Fix, Inc.",589.82M,1.09%,908887,1.29B
ZKH,ZKH Group Limited,578.36M,2.29%,28855,1.26B
PLOW,"Douglas Dynamics, Inc.",577.58M,0.44%,68540,559.20M
CAL,"Caleres, Inc.",577.07M,-0.12%,470411,2.78B
ECX,ECARX Holdings Inc.,573.03M,3.73%,457827,778.61M
MNRO,"Monro, Inc.",564.85M,1.56%,796134,1.21B
FLWS,"1-800-FLOWERS.COM, Inc.",516.55M,4.12%,810377,1.76B
GAMB,Gambling.com Group Limited,509.70M,2.54%,252745,124.40M
BBW,"Build-A-Bear Workshop, Inc.",502.86M,-3.65%,231555,495.24M
JMIA,Jumia Technologies AG,499.65M,4.88%,2634885,181.20M
AGS,"PlayAGS, Inc.",493.99M,0.50%,338191,386.03M
CANG,Cango Inc.,488.43M,1.96%,162301,38.02M
RICK,"RCI Hospitality Holdings, Inc.",482.91M,0.09%,34485,295.60M
DADA,Dada Nexus Limited,478.04M,1.66%,1831365,1.42B
MYE,"Myers Industries, Inc.",458.30M,2.33%,166239,823.48M
DIN,"Dine Brands Global, Inc.",454.34M,-1.42%,482205,813.84M
BYON,"Beyond, Inc.",443.52M,33.33%,9619885,1.48B
GCO,Genesco Inc.,441.54M,-0.28%,163979,2.32B
SES,SES AI Corporation,432.70M,3.45%,21320264,-
DOGZ,Dogness (International) Corporation,424.19M,-3.64%,35398,14.85M
MOV,"Movado Group, Inc.",419.85M,1.94%,120338,658.33M
CYD,China Yuchai International Limited,409.06M,1.49%,23485,2.64B
BWMX,"Betterware de México, S.A.P.I. de C.V.",408.94M,0.73%,22370,700.82M
CHPT,"ChargePoint Holdings, Inc.",407.22M,-1.01%,21731839,431.03M
LESL,"Leslie's, Inc.",401.90M,6.37%,5957989,1.33B
JILL,"J.Jill, Inc.",394.55M,-2.94%,55660,614.92M
HYLN,Hyliion Holdings Corp.,394.38M,2.25%,911302,-
CRMT,"America's Car-Mart, Inc.",392.82M,0.25%,70106,1.36B
SNBR,Sleep Number Corporation,389.93M,2.83%,185901,1.73B
PBPB,Potbelly Corporation,387.39M,5.72%,401630,471.72M
LE,"Lands' End, Inc.",380.74M,2.07%,67305,1.44B
LOVE,The Lovesac Company,380.73M,0.37%,264127,689.65M
LOCO,"El Pollo Loco Holdings, Inc.",366.16M,1.49%,171084,470.97M
HVT.A,"Haverty Furniture Companies, Inc.",361.72M,-,-,749.29M
HVT,"Haverty Furniture Companies, Inc.",359.99M,1.15%,114404,749.29M
HLLY,Holley Inc.,356.11M,3.45%,184334,617.88M
NATH,"Nathan's Famous, Inc.",337.80M,0.66%,4430,143.76M
BNED,"Barnes & Noble Education, Inc.",337.49M,-,458233,1.56B
WEYS,"Weyco Group, Inc.",333.59M,2.13%,4489,290.41M
JAKK,"JAKKS Pacific, Inc.",333.56M,2.36%,94967,687.70M
BARK,"BARK, Inc.",330.51M,2.15%,574295,488.88M
FLXS,"Flexsteel Industries, Inc.",328.37M,30.81%,119073,430.53M
YSG,Yatsen Holding Limited,325.24M,1.85%,57513,472.96M
DENN,Denny's Corporation,321.32M,-1.26%,645522,453.01M
TTSH,"Tile Shop Holdings, Inc.",320.65M,-1.10%,46826,352.08M
MPX,Marine Products Corporation,318.32M,1.89%,27912,236.56M
CVEO,Civeo Corporation,318.29M,-0.39%,60628,701.97M
COOK,"Traeger, Inc.",309.53M,-,83359,598.91M
ZUMZ,Zumiez Inc.,305.42M,2.77%,203660,891.86M
MCFT,"MasterCraft Boat Holdings, Inc.",301.99M,0.78%,32772,337.64M
EM,Smart Share Global Limited,299.50M,0.87%,116237,269.75M
CDRO,"Codere Online Luxembourg, S.A.",295.24M,1.25%,8202,151.88M
JOUT,Johnson Outdoors Inc.,294.57M,-2.34%,90315,561.85M
ONEW,OneWater Marine Inc.,292.49M,6.79%,114767,1.78B
TDUP,ThredUp Inc.,288.94M,7.63%,1170658,313.76M
INSE,"Inspired Entertainment, Inc.",279.87M,4.05%,332567,297.90M
GHG,GreenTree Hospitality Group Ltd.,274.17M,1.50%,5761,201.17M
INVZ,Innoviz Technologies Ltd.,263.14M,6.85%,4546118,33.16M
CPS,Cooper-Standard Holdings Inc.,259.72M,0.94%,120252,2.74B
SLDP,"Solid Power, Inc.",248.93M,0.73%,2112190,18.03M
IRBT,iRobot Corporation,247.53M,6.58%,1405855,817.36M
SGC,"Superior Group of Companies, Inc.",243.81M,0.34%,26932,567.51M
UHG,"United Homes Group, Inc.",243.70M,1.46%,34397,445.73M
