Symbol,Company Name,Market Cap,% Change,Volume,Revenue
CDRE,"Cadre Holdings, Inc.",1.51B,-0.62%,151245,516.16M
CMPR,Cimpress plc,1.50B,-3.70%,210523,3.36B
DSGR,"Distribution Solutions Group, Inc.",1.48B,1.12%,24675,1.73B
PCT,"PureCycle Technologies, Inc.",1.47B,-5.14%,3259829,-
SFL,SFL Corporation Ltd.,1.47B,3.70%,593317,876.07M
HLIO,"Helios Technologies, Inc.",1.45B,0.88%,81916,819.80M
ATSG,"Air Transport Services Group, Inc.",1.45B,0.23%,973550,1.96B
LNN,Lindsay Corporation,1.42B,-0.15%,110781,612.00M
CMRE,Costamare Inc.,1.40B,2.27%,375210,2.08B
KRNT,Kornit Digital Ltd.,1.39B,1.18%,100709,199.71M
TILE,"Interface, Inc.",1.39B,0.76%,358130,1.31B
NNE,NANO Nuclear Energy Inc.,1.36B,-2.70%,5849949,-
NMM,Navios Maritime Partners L.P.,1.33B,2.95%,105673,1.33B
EVEX,"Eve Holding, Inc.",1.32B,-4.72%,201061,-
HTZ,"Hertz Global Holdings, Inc.",1.31B,4.66%,2922050,9.19B
EOSE,"Eos Energy Enterprises, Inc.",1.29B,5.88%,7341074,14.96M
WLFC,Willis Lease Finance Corporation,1.28B,2.55%,20266,520.43M
CRAI,"CRA International, Inc.",1.26B,2.08%,22714,672.59M
MRTN,"Marten Transport, Ltd.",1.24B,0.99%,299496,963.71M
TPC,Tutor Perini Corporation,1.23B,3.17%,434850,4.28B
CTOS,"Custom Truck One Source, Inc.",1.21B,8.79%,575663,1.80B
NVEE,"NV5 Global, Inc.",1.18B,-0.44%,224373,914.19M
ARLO,"Arlo Technologies, Inc.",1.17B,3.47%,572394,524.41M
BLBD,Blue Bird Corporation,1.16B,4.12%,764892,1.35B
ULH,"Universal Logistics Holdings, Inc.",1.15B,2.21%,24997,1.77B
BBSI,"Barrett Business Services, Inc.",1.12B,1.14%,58946,1.12B
PRSU,"Pursuit Attractions and Hospitality, Inc.",1.12B,2.35%,219318,1.40B
JBI,"Janus International Group, Inc.",1.12B,-0.38%,749367,996.80M
CCEC,Capital Clean Energy Carriers Corp.,1.11B,1.55%,11551,447.31M
APOG,"Apogee Enterprises, Inc.",1.09B,0.16%,217254,1.38B
LMB,"Limbach Holdings, Inc.",1.09B,7.36%,133803,517.82M
AMRC,"Ameresco, Inc.",1.07B,-1.87%,385521,1.68B
EH,EHang Holdings Limited,1.07B,1.56%,1278666,49.68M
PRLB,"Proto Labs, Inc.",1.06B,3.55%,202699,504.19M
UP,Wheels Up Experience Inc.,1.05B,0.67%,673413,833.67M
CMCO,Columbus McKinnon Corporation,1.02B,2.64%,165596,1.00B
DLX,Deluxe Corporation,1.01B,0.22%,180242,2.14B
DCO,Ducommun Incorporated,1.01B,-0.13%,35749,781.49M
AMSC,American Superconductor Corporation,998.96M,-3.80%,1063646,176.14M
KFRC,Kforce Inc.,993.80M,1.02%,183309,1.41B
GRC,The Gorman-Rupp Company,991.40M,0.53%,31178,657.53M
CECO,CECO Environmental Corp.,983.26M,-0.53%,208662,553.08M
VLRS,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",969.41M,1.34%,598045,3.21B
NSSC,"Napco Security Technologies, Inc.",961.73M,-1.89%,1879088,186.53M
PSIX,"Power Solutions International, Inc.",960.69M,-0.62%,370182,436.42M
ASPN,"Aspen Aerogels, Inc.",952.57M,0.35%,1004724,413.83M
HSII,"Heidrick & Struggles International, Inc.",945.15M,0.39%,44900,1.08B
NX,Quanex Building Products Corporation,942.77M,-0.10%,406887,1.28B
GIC,Global Industrial Company,930.92M,0.66%,148990,1.33B
TH,Target Hospitality Corp.,928.07M,-1.21%,336220,428.80M
HY,"Hyster-Yale, Inc.",925.68M,1.87%,32270,4.27B
THR,"Thermon Group Holdings, Inc.",915.23M,-0.44%,137620,493.86M
FWRD,Forward Air Corporation,910.91M,2.31%,374092,2.18B
HTLD,"Heartland Express, Inc.",888.84M,1.71%,299354,1.05B
BXC,BlueLinx Holdings Inc.,886.59M,2.10%,29501,2.95B
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",869.40M,2.87%,140427,751.94M
SKYH,Sky Harbour Group Corporation,846.92M,2.36%,39938,12.36M
SNCY,"Sun Country Airlines Holdings, Inc.",845.45M,-3.91%,1266319,1.08B
ERII,"Energy Recovery, Inc.",844.09M,3.11%,201190,135.06M
MATW,Matthews International Corporation,839.56M,-2.97%,234836,1.80B
SWIM,"Latham Group, Inc.",835.39M,2.63%,448535,512.11M
ECO,Okeanis Eco Tankers Corp.,827.37M,4.36%,346930,399.71M
FIP,FTAI Infrastructure Inc.,780.29M,1.78%,642100,332.17M
