Symbol,Company Name,Market Cap,% Change,Volume,Revenue
GIGM,GigaMedia Limited,16.58M,-1.95%,5054,3.09M
GDC,GD Culture Group Limited,15.08M,-,161262,-150.00K
CMLS,Cumulus Media Inc.,14.20M,-0.59%,4175,829.80M
EDUC,Educational Development Corporation,13.91M,-2.41%,5877,36.52M
BBGI,"Beasley Broadcast Group, Inc.",13.90M,-1.35%,5704,238.75M
QMMM,QMMM Holdings Limited,12.77M,-0.42%,112732,2.70M
STFS,Star Fashion Culture Holdings Limited,12.27M,4.40%,313983,14.97M
DLPN,"Dolphin Entertainment, Inc.",11.27M,-6.48%,30615,51.39M
KRKR,36Kr Holdings Inc.,11.08M,2.95%,132419,41.65M
CPOP,"Pop Culture Group Co., Ltd",10.46M,1.45%,80206,47.38M
LCFY,Locafy Limited,10.38M,-8.64%,31866,2.67M
SOGP,Sound Group Inc.,10.20M,2.99%,109286,250.40M
TRUG,"TruGolf Holdings, Inc.",9.11M,2.88%,835654,21.92M
BREA,Brera Holdings PLC,8.14M,1.27%,57607,2.87M
HOFV,Hall of Fame Resort & Entertainment Company,8.00M,-1.61%,11462,22.53M
GXAI,Gaxos.ai Inc.,7.81M,-2.10%,240208,2.98K
SLE,"Super League Enterprise, Inc.",7.59M,-9.79%,198118,22.27M
LDWY,"Lendway, Inc.",7.56M,-6.77%,5189,31.58M
ANTE,AirNet Technology Inc.,6.41M,-2.61%,12081,500.00K
ONFO,"Onfolio Holdings, Inc.",6.41M,-2.34%,6078,6.59M
BAOS,Baosheng Media Group Holdings Limited,5.79M,9.59%,216920,859.23K
BLMZ,BloomZ Inc.,5.34M,7.70%,38656,1.25M
BHAT,Blue Hat Interactive Entertainment Technology,4.98M,-5.19%,77403724,40.46M
ASST,Asset Entities Inc.,4.76M,-5.72%,812791,501.58K
LKCO,Luokung Technology Corp.,4.51M,5.11%,12506,5.39M
MSGM,Motorsport Games Inc.,4.43M,-2.80%,31385,8.46M
VSME,VS MEDIA Holdings Limited,4.14M,9.62%,33127,8.49M
UPXI,"Upexi, Inc.",3.99M,2.41%,11033,22.08M
CNET,ZW Data Action Technologies Inc.,3.57M,-3.53%,9704,18.46M
TC,TuanChe Limited,1.68M,-3.00%,132029,14.11M
DGLY,"Digital Ally, Inc.",1.13M,8.67%,912837,21.13M
ADD,"Color Star Technology Co., Ltd.",946.54K,8.43%,1497444,2.83M
MGOL,"MGO Global, Inc.",406.56K,12.45%,50294425,5.20M
