Symbol,Company Name,Market Cap,% Change,Volume,Revenue
TOPS,Top Ships Inc.,28.48M,-0.06%,5688,83.87M
PTLE,PTL Limited,25.76M,-1.46%,136629,108.13M
MXC,Mexco Energy Corporation,24.74M,-0.05%,136,6.93M
CKX,"CKX Lands, Inc.",22.99M,2.16%,716,2.03M
SKYQ,Sky Quarry Inc.,21.43M,12.87%,256410,30.77M
HUSA,Houston American Energy Corp.,18.32M,-5.41%,933222,640.35K
BRN,"Barnwell Industries, Inc.",18.20M,-0.55%,9275,21.72M
MTR,Mesa Royalty Trust,12.52M,-0.66%,9898,966.17K
TPET,Trio Petroleum Corp.,11.57M,-6.52%,718818,213.20K
BPT,BP Prudhoe Bay Royalty Trust,11.27M,0.96%,104220,257.00K
EONR,EON Resources Inc.,8.06M,-5.37%,1328613,21.71M
MARPS,Marine Petroleum Trust,8.00M,-0.50%,1112,1.04M
